TEAM_ABB,TEAM_NAME,YEAR,WINS,LOSSES,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,CONF_RANK
ORL,Magic,2004-05,36,46,0,0,N/A,10
ORL,Magic,2005-06,36,46,0,0,N/A,10
ORL,Magic,2006-07,40,42,0,4,N/A,8
ORL,Magic,2007-08,52,30,5,5,N/A,3
ORL,Magic,2008-09,59,23,13,11,FINALS APPEARANCE,3
ORL,Magic,2009-10,59,23,10,4,N/A,2
ORL,Magic,2010-11,52,30,2,4,N/A,4
ORL,Magic,2011-12,37,29,1,4,N/A,6
ORL,Magic,2012-13,20,62,0,0,N/A,15
ORL,Magic,2013-14,23,59,0,0,N/A,13
ORL,Magic,2014-15,25,57,0,0,N/A,13
ORL,Magic,2015-16,35,47,0,0,N/A,11
ORL,Magic,2016-17,29,53,0,0,N/A,13
ORL,Magic,2017-18,25,57,0,0,N/A,14
ORL,Magic,2018-19,42,40,1,4,N/A,7
ORL,Magic,2019-20,33,40,1,4,N/A,8
ORL,Magic,2020-21,21,51,0,0,N/A,14
ORL,Magic,2021-22,22,60,0,0,N/A,15
ORL,Magic,2022-23,34,48,0,0,N/A,13
ORL,Magic,2023-24,47,35,3,4,N/A,5
ORL,Magic,2024-25,41,41,1,4,N/A,7
ORL,Magic,2025-26,15,11,0,0,N/A,4
IND,Pacers,2000-01,41,41,1,3,N/A,8
IND,Pacers,2001-02,42,40,2,3,N/A,8
IND,Pacers,2002-03,48,34,2,4,N/A,3
IND,Pacers,2003-04,61,21,10,6,N/A,1
IND,Pacers,2004-05,44,38,6,7,N/A,6
IND,Pacers,2005-06,41,41,2,4,N/A,6
IND,Pacers,2006-07,35,47,0,0,N/A,9
IND,Pacers,2007-08,36,46,0,0,N/A,9
IND,Pacers,2008-09,36,46,0,0,N/A,9
IND,Pacers,2009-10,32,50,0,0,N/A,10
IND,Pacers,2010-11,37,45,1,4,N/A,8
IND,Pacers,2011-12,42,24,6,5,N/A,3
IND,Pacers,2012-13,49,32,11,8,N/A,3
IND,Pacers,2013-14,56,26,10,9,N/A,1
IND,Pacers,2014-15,38,44,0,0,N/A,9
IND,Pacers,2015-16,45,37,3,4,N/A,7
IND,Pacers,2016-17,42,40,0,4,N/A,7
IND,Pacers,2017-18,48,34,3,4,N/A,5
IND,Pacers,2018-19,48,34,0,4,N/A,5
IND,Pacers,2019-20,45,28,0,4,N/A,4
IND,Pacers,2020-21,34,38,0,0,N/A,9
IND,Pacers,2021-22,25,57,0,0,N/A,13
IND,Pacers,2022-23,35,47,0,0,N/A,11
IND,Pacers,2023-24,47,35,8,9,N/A,6
IND,Pacers,2024-25,50,32,15,8,FINALS APPEARANCE,4
IND,Pacers,2025-26,6,20,0,0,N/A,14
PHI,76ers,2000-01,56,26,12,11,FINALS APPEARANCE,1
PHI,76ers,2001-02,43,39,2,3,N/A,6
PHI,76ers,2002-03,48,34,6,6,N/A,4
PHI,76ers,2003-04,33,49,0,0,N/A,11
